Player,Pos,3P,TRB,BLK
Jordan Clarkson,SG,1.4,3.0,0.1
Dewayne Dedmon,C,0.0,6.5,0.8
Wayne Ellington,SG,2.4,2.1,0.1
Manu Ginobili,SG,1.3,2.3,0.2
Dion Waiters,SG,1.8,3.3,0.4
Anthony Davis,C,0.5,11.8,2.2
Marcin Gortat,C,0.0,10.4,0.7
Alex Len,C,0.0,6.6,1.3
Jamal Murray,SG,1.4,2.6,0.3
Avery Bradley,SG,2.0,6.1,0.2
Austin Rivers,SG,1.5,2.2,0.1
Karl-Anthony Towns,C,1.2,12.3,1.3
Brook Lopez,C,1.8,5.4,1.7
Marc Gasol,C,1.4,6.3,1.3
Nicolas Batum,SG,1.8,6.2,0.4
Ben McLemore,SG,1.1,2.1,0.1
Marcus Smart,SG,1.2,3.9,0.4
Garrett Temple,SG,1.3,2.8,0.4
Willie Reed,C,0.0,4.7,0.7
Myles Turner,C,0.5,7.3,2.1
Nik Stauskas,SG,1.7,2.8,0.4
Wesley Matthews,SG,2.4,3.5,0.2
Joel Embiid,C,1.2,7.8,2.5
Jamal Crawford,SG,1.4,1.6,0.2
Iman Shumpert,SG,1.2,2.9,0.4
Channing Frye,C,1.9,3.9,0.5
Eric Gordon,SG,3.3,2.7,0.5
Willie Cauley-Stein,C,0.0,4.5,0.6
Al Horford,C,1.3,6.8,1.3
Alex Abrines,SG,1.4,1.3,0.1
Zach LaVine,SG,2.6,3.4,0.2
Roy Hibbert,C,0.0,3.2,1.0
Buddy Hield,SG,1.8,3.3,0.1
Alexis Ajinca,C,0.0,4.5,0.6
DeMarcus Cousins,C,1.8,11.0,1.3
Nikola Vucevic,C,0.3,10.4,1.0
Tony Snell,SG,1.8,3.1,0.2
Jordan Crawford,SG,1.9,1.8,0.1
E'Twaun Moore,SG,1.1,2.1,0.4
Mason Plumlee,C,0.0,7.5,1.1
Jason Smith,C,0.5,3.5,0.7
Montrezl Harrell,C,0.0,3.8,0.7
Edy Tavares,C,0.0,5.5,3.0
JaVale McGee,C,0.0,3.2,0.9
Nikola Jokic,C,0.6,9.8,0.8
C.J. McCollum,SG,2.3,3.6,0.5
Victor Oladipo,SG,1.9,4.3,0.3
Georgios Papagiannis,C,0.0,3.9,0.8
Will Barton,SG,1.5,4.3,0.5
DeAndre Jordan,C,0.0,13.8,1.7
Kyle Korver,SG,2.4,2.8,0.3
Joe Harris,SG,1.6,2.8,0.2
Tim Hardaway,SG,1.9,2.8,0.2
Ian Mahinmi,C,0.0,4.8,0.8
Danny Green,SG,1.7,3.3,0.8
Devin Booker,SG,1.9,3.2,0.3
J.J. Redick,SG,2.6,2.2,0.2
Justin Holiday,SG,1.2,2.7,0.4
Sean Kilpatrick,SG,1.5,4.0,0.1
Nene Hilario,C,0.0,4.2,0.6
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Frank Kaminsky,C,1.5,4.5,0.5
Marco Belinelli,SG,1.4,2.4,0.1
Salah Mejri,C,0.0,4.2,0.8
Bismack Biyombo,C,0.0,7.0,1.1
Courtney Lee,SG,1.4,3.4,0.3
Kosta Koufos,C,0.0,5.7,0.7
Steven Adams,C,0.0,7.7,1.0
Rudy Gobert,C,0.0,12.8,2.6
Clint Capela,C,0.0,8.1,1.2
Denzel Valentine,SG,1.3,2.6,0.1
Justin Hamilton,C,0.9,4.1,0.7
Richaun Holmes,C,0.5,5.5,1.0
Gary Harris,SG,1.9,3.1,0.1
Bradley Beal,SG,2.9,3.1,0.3
Marreese Speights,C,1.3,4.5,0.5
Hassan Whiteside,C,0.0,14.1,2.1
Jodie Meeks,SG,1.6,2.1,0.1
Lou Williams,SG,2.0,2.5,0.2
Rodney Hood,SG,1.9,3.4,0.2
